hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
489c60f4eaa8,67cf02b6ae98c0d6113bee63,APPROVED,Not Applicable,2025-03-10T15:18:21Z,2025-03-10T15:23:59Z,2025-03-10T15:24:02Z,2025-03-10T15:24:00Z,339,CLKQ470I,4901,English,45,Male,White,United States,United States,United States,English,No,Full-Time
a4a57708871c,67cf02bd890670e459fbc891,APPROVED,Not Applicable,2025-03-10T15:23:23Z,2025-03-10T15:34:58Z,2025-03-10T15:34:59Z,2025-03-10T15:34:59Z,696,CLKQ470I,2100,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
3c943f45ae04,67cf02c6e2af91d4a9ae1dcf,APPROVED,Not Applicable,2025-03-10T15:18:43Z,2025-03-10T15:24:55Z,2025-03-10T15:24:57Z,2025-03-10T15:24:56Z,373,CLKQ470I,2907,English,74,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
b0129498235a,67cf02d1b6fe2845805f466b,APPROVED,Not Applicable,2025-03-10T15:18:47Z,2025-03-10T15:27:37Z,2025-03-10T15:27:39Z,2025-03-10T15:27:38Z,531,CLKQ470I,1324,English,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
d561206973e9,67cf02e4a84141eecb3a249b,APPROVED,Not Applicable,2025-03-10T15:19:07Z,2025-03-10T15:26:00Z,2025-03-10T15:26:02Z,2025-03-10T15:26:02Z,414,CLKQ470I,6084,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
21a231777d35,67cf02e96000acc0b3895dcc,APPROVED,Not Applicable,2025-03-10T15:19:43Z,2025-03-10T15:28:33Z,2025-03-10T15:28:34Z,2025-03-10T15:28:34Z,530,CLKQ470I,1070,English,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
e83aea30f037,67cf030cc507dd400b056303,APPROVED,Not Applicable,2025-03-10T15:27:05Z,2025-03-10T15:58:47Z,2025-03-10T15:58:55Z,2025-03-10T15:58:48Z,1902,CLKQ470I,3385,English,28,Male,White,United States,United States,United States,English,No,Full-Time
db0817713f45,67cf031766b1c763477aefd4,APPROVED,Not Applicable,2025-03-10T15:19:59Z,2025-03-10T15:25:02Z,2025-03-10T15:25:03Z,2025-03-10T15:25:03Z,304,CLKQ470I,239,English,26,Male,Asian,United States,United States,United States,English,No,Due to start a new job within the next month
4ae79b6350b3,67cf0334840b53cb92f07734,APPROVED,Not Applicable,2025-03-10T15:20:32Z,2025-03-10T15:26:21Z,2025-03-10T15:26:22Z,2025-03-10T15:26:22Z,350,CLKQ470I,833,English,27,Female,White,United States,United States,United States,English,No,Full-Time
e7d6f950761b,67cf0336c9e0376383d800b2,APPROVED,Not Applicable,2025-03-10T15:20:26Z,2025-03-10T15:28:37Z,2025-03-10T15:28:41Z,2025-03-10T15:28:38Z,492,CLKQ470I,266,English,46,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
