condition,feature,prevalence
generic,chug_syrup,0.4401190655704926
generic,clap_three,0.5210633723134114
generic,dance_fire,0.5899735084816065
generic,farm_potatoes,0.5022823215657539
generic,go_opera,0.4243930133987519
generic,live_caves,0.49192097924218553
generic,look_left,0.48801334659618467
generic,paint_hands,0.49595988656170187
generic,play_banjo,0.4482849903100254
generic,ride_lions,0.34631077507221675
generic,scream_windows,0.4407848338758126
generic,sing_songs,0.6781337647575764
generic,smell_garbage,0.39394448592180925
generic,smile_sad,0.47469073849398274
generic,wash_ponds,0.5599871379696348
generic,yell_cats,0.3897858026527864
baseline,chug_syrup,0.27996460571810217
baseline,clap_three,0.3579792062042021
baseline,dance_fire,0.4622455740339564
baseline,farm_potatoes,0.37522570538221955
baseline,go_opera,0.2759616295463035
baseline,live_caves,0.35664849037546975
baseline,look_left,0.35347733443128815
baseline,paint_hands,0.29827839772716813
baseline,play_banjo,0.2521786409667264
baseline,ride_lions,0.2099554374628313
baseline,scream_windows,0.23994826407310804
baseline,sing_songs,0.4907302770438057
baseline,smell_garbage,0.2207102802500835
baseline,smile_sad,0.33109410235689657
baseline,wash_ponds,0.4719970786103117
baseline,yell_cats,0.1996755721386379
specific,chug_syrup,0.27996460571810217
specific,clap_three,0.3579792062042021
specific,dance_fire,0.4622455740339564
specific,farm_potatoes,0.37522570538221955
specific,go_opera,0.2759616295463035
specific,live_caves,0.35664849037546975
specific,look_left,0.35347733443128815
specific,paint_hands,0.29827839772716813
specific,play_banjo,0.2521786409667264
specific,ride_lions,0.2099554374628313
specific,scream_windows,0.23994826407310804
specific,sing_songs,0.4907302770438057
specific,smell_garbage,0.2207102802500835
specific,smile_sad,0.33109410235689657
specific,wash_ponds,0.4719970786103117
specific,yell_cats,0.1996755721386379
